Level,Breakthrough,Coefficient_Chara,Coefficient_LightCone
1,0,1,1
2,0,1.05,1.15
3,0,1.1,1.3
4,0,1.15,1.45
5,0,1.2,1.6
6,0,1.25,1.75
7,0,1.3,1.9
8,0,1.35,2.05
9,0,1.4,2.2
10,0,1.45,2.35
11,0,1.5,2.5
12,0,1.55,2.65
13,0,1.6,2.8
14,0,1.65,2.95
15,0,1.7,3.1
16,0,1.75,3.25
17,0,1.8,3.4
18,0,1.85,3.55
19,0,1.9,3.7
20,0,1.95,3.85
20,1,2.35,5.05
21,0,2.4,5.2
22,0,2.45,5.35
23,0,2.5,5.5
24,0,2.55,5.65
25,0,2.6,5.8
26,0,2.65,5.95
27,0,2.7,6.1
28,0,2.75,6.25
29,0,2.8,6.4
30,0,2.85,6.55
30,1,3.25,8.15
31,0,3.3,8.3
32,0,3.35,8.45
33,0,3.4,8.6
34,0,3.45,8.75
35,0,3.5,8.9
36,0,3.55,9.05
37,0,3.6,9.2
38,0,3.65,9.35
39,0,3.7,9.5
40,0,3.75,9.65
40,1,4.15,11.25
41,0,4.2,11.4
42,0,4.25,11.55
43,0,4.3,11.7
44,0,4.35,11.85
45,0,4.4,12
46,0,4.45,12.15
47,0,4.5,12.3
48,0,4.55,12.45
49,0,4.6,12.6
50,0,4.65,12.75
50,1,5.05,14.35
51,0,5.1,14.5
52,0,5.15,14.65
53,0,5.2,14.8
54,0,5.25,14.95
55,0,5.3,15.1
56,0,5.35,15.25
57,0,5.4,15.4
58,0,5.45,15.55
59,0,5.5,15.7
60,0,5.55,15.85
60,1,5.95,17.45
61,0,6,17.6
62,0,6.05,17.75
63,0,6.1,17.9
64,0,6.15,18.05
65,0,6.2,18.2
66,0,6.25,18.35
67,0,6.3,18.5
68,0,6.35,18.65
69,0,6.4,18.8
70,0,6.45,18.95
70,1,6.85,20.55
71,0,6.9,20.7
72,0,6.95,20.85
73,0,7,21
74,0,7.05,21.15
75,0,7.1,21.3
76,0,7.15,21.45
77,0,7.2,21.6
78,0,7.25,21.75
79,0,7.3,21.9
80,0,7.35,22.05
